Element;MAU_percent;RA_percent
Cranium;72.4137931034483;55.2631578947368
Mandible;51.7241379310345;39.4736842105263
Incisor;35.632183908046;27.1929824561404
Upper molar;37.3563218390805;28.5087719298246
Lower molar;16.551724137931;12.6315789473684
Tooth;1.47783251231527;1.12781954887218
Vertebra;2.84857571214393;2.17391304347826
Rib;2.58620689655172;1.97368421052632
Sternum;0.00;0.00
Scapula;17.2413793103448;13.1578947368421
Humerus;41.3793103448276;31.5789473684211
Radius;37.9310344827586;28.9473684210526
Ulna;48.2758620689655;36.8421052631579
Femur;58.6206896551724;44.7368421052632
Patella;0.00;0.00
Tibia;75.8620689655172;57.8947368421053
Innominate;75.8620689655172;57.8947368421053
Metacarpus;34.4827586206897;26.3157894736842
Metatarsus;87.0689655172414;66.4473684210526
Calcaneum;100.00;76.3157894736842
Astragalus;65.5172413793103;50.00
Carpal/Tarsal;12.2015915119363;9.31174089068826
Phalange;34.4827586206897;26.3157894736842
Sesamoid;0.00;0.00
