Sample	Key	Key2	MD	CR	HU	RA	FM	TA	SC	INM	MC	MT	CA	VR	RI
Natal_Den	Lynx	terrestrial_carnivores	37.9	41.4	25.9	58.6	39.7	91.4	8.6	62.1	69	85.5	82.8	53.8	10.5
Sample_A	Lynx	terrestrial_carnivores	41.12	51.4	21.5	75.23	35.98	100	7.94	89.72	51.78	89.84	100	16.94	17.52
Sample_B	Lynx	terrestrial_carnivores	5.21	10.42	0	26.04	0	88.54	0	0	21.88	100.26	83.33	21.35	0
UP_E	Homo	human	50.28	49.44	36.39	37.78	62.78	69.44	35.56	100	4.78	11.32	32.78	0.65	1.25
Picareiro_UP	Homo	human	35.94	50.16	28.43	40.58	28.59	28.43	36.26	100	11.02	21.49	49.2	1.47	2.8
Nest_1	Owl	nocturnal_raptors	13.24	26.47	19.12	17.65	50	38.24	8.82	100	7.65	37.5	51.47	12.65	15.2
Nest_2	Owl	nocturnal_raptors	33.33	24.24	18.18	7.58	42.42	50	9.09	100	10.91	49.62	72.73	11.89	28.28
Nest_1P	Owl	nocturnal_raptors	18.75	12.5	12.5	18.75	75	62.5	6.25	100	2.5	32.81	62.5	6.56	7.81
Nest_2P	Owl	nocturnal_raptors	3.45	6.9	10.34	6.9	29.31	44.83	6.9	100	0.69	40.09	37.93	5.34	3.88
Gegant	Lynx	terrestrial_carnivores	78	45	63	51	68	99	50	93	20	65	91	5	4
Pie_Lombard	Homo	human	32.4	24.2	95.3	82.4	41.3	61.6	78.7	na	39.9	56.7	94.4	7.5	5.9
Les_Canalettes	Homo	human	84.1	7.5	27.1	52.3	16.8	81.3	65.4	55.1	11.2	19.6	29	7.5	0.5
Vulture_nest	Vulture	diurnal_raptors	4.5	13.6	22.7	31.8	45.5	15.9	13.6	36.4	11.8	25	14.9	18.1	0
Two_Ledges	Eagle	diurnal_raptors	38.5	0	45	61.1	46.7	51.1	83.3	37.8	0	0	61.1	28.9	0
eagle_captive	Eagle	diurnal_raptors	100	95	85	85	100	100	80	100	95	100	100	97.1	60.0
eagle_captive	Eagle	diurnal_raptors	0	5	15	10	0	0	20	0	5	0	4.6	13.8	5.8
owl_captive	Owl	nocturnal_raptors	40	50	65	65	90	90	70	95	65	80	75	82.5	18.8
owl_captive	Owl	nocturnal_raptors	60	50	35	35	10	10	30	5	34	17.5	25	76	50.4
coyote_captive	Coyote	terrestrial_carnivores	10	10	0	10	0	30	0	0	25	30	30	0	0.4
coyote_captive	Coyote	terrestrial_carnivores	85	85	80	80	90	55	85	80	57	57.5	60	41.9	47.3
Allauch	Owl	nocturnal_raptors	40	92	72	34	74	65	29	42	na	na	26	na	na
Alzon	Owl	nocturnal_raptors	0	6	31	19	81	69	25	87	na	na	56	na	na
P.Zafra	Owl	nocturnal_raptors	23	15	33	19	100	74	10	95	na	na	18	na	na
A.BusotI	Owl	nocturnal_raptors	54	64	100	77	58	57	59	41	na	na	18	na	na
Tabia	Owl	nocturnal_raptors	40	20	100	70	80	60	30	50	na	na	20	na	na
NiuA-7	Owl	nocturnal_raptors	35	0	19	23	58	65	19	100	na	na	65	na	na
A.BusotII	Owl	nocturnal_raptors	13	12	26	9	100	43	14	91	na	na	43	na	na
Alpes	Owl	nocturnal_raptors	52	41	38	10	78	100	28	95	na	na	40	na	na
Carry_leRouet	Owl	nocturnal_raptors	38	25	35	32	55	65	32	75	na	na	38	na	na
DonderoShelter	Owl	nocturnal_raptors	55	41	66	100	50	48	59	82	na	na	52	na	na
T1Chamber	Owl	nocturnal_raptors	86	15	100	43	56	51	57	46	na	na	92	na	na
Lynxscats	Lynx	terrestrial_carnivores	82.1	64.3	57.1	42.8	64.3	42.8	53.6	60.7	na	na	39.3	na	na
Pellets	Eagle	diurnal_raptors	34.4	43.8	15.6	3.1	3.1	50	15.7	6.3	na	na	40.6	na	na
Navalmaillo	Lynx	terrestrial_carnivores	4.17	4.17	16.6	10.41	16.6	4.17	8.3	6.25	6.78	11.98	22.92	0.17	0.17
Torreferrussa1A	Fox	terrestrial_carnivores	9.1	0	4.5	27.3	0	72.7	0	0	21.8	89.9	77.3	6.1	0
ConjuntoCoveta2	Fox	terrestrial_carnivores	41.17	20.58	58.82	35.29	76.47	55.88	26.47	35.29	14.70	58.82	26.47	17.64	12
ConjuntoCoveta3	Fox	terrestrial_carnivores	21.42	50	57.14	21.42	64.28	57.14	35.71	50	42.85	57.14	14.28	28.57	0.59
Olavarria	wildcat	terrestrial_carnivores	8.3	8.3	50	50	33.3	83.3	33.3	16.6	25	58.3	41.6	24.2	16.6
Olavarria	wildcat	terrestrial_carnivores	75	62.5	31.2	43.7	87.5	75	25	81.2	10	62.5	56.2	4.5	0
Vallcalent	wildcat	terrestrial_carnivores	94.4	100	11.1	83.3	100	94.4	0	94.4	82.2	100	100	47.1	3.2
nestssouthernIberia	Eagle	diurnal_raptors	22.2	100	16.7	27.8	38.9	22.2	22.2	88.9	4.4	20.8	16.7	17.6	4.6
nestsnortheastIberia	Vulture	diurnal_raptors	60	20	0	0	5	0	5	10	0	5	0	1.5	4.6
nestsnortheastIberia	Eagle	diurnal_raptors	59.4	68.8	40.6	31.3	65.6	90.6	37.5	100	21.3	60.2	93.8	49.3	14.8
nestsnortheastIberia	Eagle	diurnal_raptors	57.7	38.5	30.8	26.9	46.2	80.8	19.2	100	20	51	46.2	41.8	15.7
nestsnortheastIberia	Eagle	diurnal_raptors	22.2	22.2	27.8	16.7	50	44.4	14.6	27.8	8.9	22.2	100	26.2	3.7
nestssouthernAfrica	Eagle	diurnal_raptors	3	19	17	20	44	90	2	100	0	19	27	41	1
BalmadelGai	Homo	human	89.2	100	75.1	59.2	82.3	66.1	85.8	62	17.1	27.4	58.9	5.2	6.6
CovadelaGuineu	Homo	human	95.2	89.3	45.2	48.8	48.8	90.5	92.9	95.2	21.5	37.5	52.4	4.1	8.9
FontVoltada	Homo	human	38.5	57.7	43.3	32.7	30	48.1	88.5	62.5	11.1	19	97.1	0.12	2.8
Caldeirao_MOU	Homo	human	52.1	29.2	62.5	37.5	66.7	87.5	41.7	79.2	15	63	100	9.2	1.9
Caldeirao_UP	Homo	human	87.5	55.4	59.8	67.9	56.3	54.5	71.4	97.3	13.2	35.7	62.5	12.6	3.7
Arbreda	mixed	terrestrial_carnivores	40.9	45.5	98.5	30.3	56.1	57.6	30.3	43.9	21.8	42.4	78.8	13.1	2.3
Escoural	Escoural	Escoural	51.72	72.41	41.38	37.93	58.62	75.86	17.24	75.86	34.48	87.07	100	2.85	2.59
