Assemblage;CM;BU;DI;TB;CLL;T;AD
Pont_dAmbon_4;12.5;13.7;0.4;0.2;1.5;26.2;96
Moulin_du_Roc;11.7;13.9;0;0;1.2;20.6;100
Picareiro_F_GH;0;3.2;0;0;3.8;40.2;99.4
MolidelSalt_Sup;1.1;20.1;0.2;1.5;4;8.3;75
MolidelSalt_Asup;1.2;23.5;0.03;0.9;0;1;91
MolidelSalt_A;1.5;30.5;0.03;1.4;4;3.9;96.7
MolidelSalt_B1;2.6;28;0.4;1.9;0;7.4;87.5
MolidelSalt_B1.1;1.6;20.5;0;0;4;4.7;75
MolidelSalt_B2;2.8;9.7;0;2.3;0;12.5;75
Estebanvela_I;5.2;na;7.3;1.6;na;na;93.3
Estebanvela_II;4.3;na;23.4;1.2;na;na;93.3
Estebanvela_III;0.8;na;45.3;1.6;na;na;77.8
Cendres_IX;11.9;42.3;6.1;1.4;na;na;80
Cendres_XI;23.1;9.5;1.5;3.1;na;na;88.1
Cendres_XIIA;7;34.5;0.4;0.7;na;na;72.7
BalmadelGai_III;1.2;23.4;0.07;0.9;0.5;30.6;92.3
CovadelGegant_IIIa;0.03;1.2;1.3;1.3;7.8;0.03;63
Vulpes_Rochers;0;0;10;21.2;30.8;7.8;45.9
Lynx_Scat;0;0;97.2;0.3;2.6;0;21.4
Bubo_nest1;0;0;68.8;1.9;17.1;0;50
Bubo_nest2;0;0;65.6;1.3;10.8;0;50
Bubo_nest1P;0;0;76.4;1.7;7.1;0;4.8
BEagle;0;0;31.2;2.3;51.7;0;41.4
GEagle;0;0;32;1.2;26.3;0;83.5
Vulpes_Noning1a;0;0;0;9.5;71.6;0;na
Vulpes_Scat1b;0;0;100;1.7;0;0;na
Vulpes_Scat2;0;0;99.3;5.3;0;0;87
Bubo_Pellet_CarryleRouet;0;0;81.5;3.8;na;3.3;na
Bubo_Nest_HautesAlpes;0;0;3.7;10.4;na;2.8;na
Lynx_Noning_Aceb;0;0;0;1.5;78.3;0.5;na
Lynx_NonigFrar;0;0;0;1.8;81.9;0;na
Vulpes_DenPnyRo;0;0;15.7;2.7;na;0.4;na
Navalmaillo;0;0;25.2;0;0;na;75
wildcat_nonig;0;0;6.0;1.3;58.0;0;0
Escoural;0;0.2;9.1;8.1;11.9;7.9;52.6
